company,role,status,where,roles_open,band_low,band_high,opened,url
RTX,Software Engineer I (Onsite),LIVE,Chicago,1,,,2026-08-18,https://globalhr.wd5.myworkdayjobs.com/en-US/Private_Posting_No_TMP/job/US-CO-AURORA-S75--16800-E-Centretech-Pkwy--BLDG-S75/Software-Engineer-I--Onsite-_01867905
SHI International,Software Engineer - AI,LIVE,Remote,1,,,2026-08-25,https://shi.wd12.myworkdayjobs.com/en-US/shicareers/job/US---Remote/Software-Engineer---AI_JR3613
SitusAMC,Fullstack Software Developer - PHP - Remote US,LIVE,Remote,1,,,2026-08-21,https://situsamc.wd1.myworkdayjobs.com/en-US/SitusAMC/job/Remote/Fullstack-Software-Developer---PHP---Remote-US_JR03161
Slate,Software Engineer,LIVE,Remote,1,,,2026-08-27,https://jobs.lever.co/slate/557fe4ab-d292-4069-8c63-36752f3da91d
Southern Company,Application Developer I - Asset Technology AMI,LIVE,Chicago,1,,,2026-08-28,https://emje.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/21161
The Home Depot,"Data Engineer, BlackLocus division",LIVE,Remote,2,,,2026-08-26,https://homedepot.wd5.myworkdayjobs.com/en-US/careerdepot/job/GEORGIA---VIRTUAL---GA01/Data-Engineer--BlackLocus-division_Req190946
Virtualitics,Full Stack Engineer,LIVE,Remote,1,,,2026-08-27,https://jobs.lever.co/virtualitics/b74f87bc-59ad-49cf-a6c5-9361e3bbb19b
Wex,Software Development Engineer 1,LIVE,Remote,1,,,2026-08-24,https://wexinc.wd5.myworkdayjobs.com/en-US/WEXInc/job/US---Remote/Software-Development-Engineer-1_R22758
PEAK6,Software Engineer - Campus / Entry-Level (2027) - NOT YET POSTED,WATCH,Chicago,1,102000,169000,,https://careers.peak6.com/
Samsara,"Software Engineer I (New Grad), US",WATCH,Remote,1,130000,150000,,https://www.samsara.com/company/careers/roles
SpiderRock,Jr Software Engineer - New Graduates (2027),WATCH,Chicago,1,110000,140000,,https://spiderrock.net/careers/
HubSpot,Software Engineer (career-starting / new grad),WATCH,Remote,1,110000,130000,,https://www.hubspot.com/careers/jobs
McDonald's Corporation (Global Technology),Software Engineer I,WATCH,Chicago,1,95000,115000,,https://careers.mcdonalds.com/
CME Group,Software Engineer I – Rotational Development Program (Technology Rotational Program),WATCH,Chicago,1,95000,110000,,https://cmegroup.wd1.myworkdayjobs.com/cme_careers
Discover (now Capital One),Technology Development Program (TDP) – full-time new grad,WATCH,Chicago,1,110000,110000,,https://www.capitalonecareers.com/full-time-programs
Epsilon (Publicis Groupe),"New Grad Program - Associate, Software Engineer",WATCH,Chicago,1,85000,100000,,https://careers.publicisgroupe.com/epsilon/jobs
W.W. Grainger (incl. Zoro),Technology Development Program – Software Engineer (GTG),WATCH,Chicago,1,,,,https://jobs.grainger.com/go/Internship/2432300/
